Date,High,Low,Adj_Close,Change
2007-01-03,55.900001525878906,54.09999847412109,54.88999938964844,0.0
2007-01-04,55.400001525878906,54.400001525878906,54.560001373291016,-0.6
2007-01-05,54.70000076293945,53.81999969482422,54.41999816894531,-0.26
2007-01-08,54.79999923706055,54.150001525878906,54.52999877929688,0.2
2007-01-09,54.52999877929688,54.02999877929688,54.09999847412109,-0.79
2007-01-10,54.400001525878906,53.34999847412109,53.93000030517578,-0.31
2007-01-11,54.25,53.79999923706055,54.040000915527344,0.2
2007-01-12,55.18999862670898,52.84999847412109,54.70000076293945,1.22
2007-01-16,55.09000015258789,54.29999923706055,54.91999816894531,0.4
2007-01-17,55.09999847412109,54.59999847412109,55.060001373291016,0.25
2007-01-18,55.0,54.34999847412109,54.52999877929688,-0.96
2007-01-19,54.79999923706055,54.34999847412109,54.54999923706055,0.04
2007-01-22,54.59999847412109,54.08000183105469,54.09000015258789,-0.84
2007-01-23,55.0,54.25,54.81999969482422,1.35
2007-01-24,54.79999923706055,54.400001525878906,54.470001220703125,-0.64
2007-01-25,54.59999847412109,54.220001220703125,54.369998931884766,-0.18
2007-01-26,54.63999938964844,54.09999847412109,54.119998931884766,-0.46
2007-01-29,54.20000076293945,53.560001373291016,53.56999969482422,-1.02
2007-01-30,53.900001525878906,53.31999969482422,53.34999847412109,-0.41
2007-01-31,54.400001525878906,53.400001525878906,54.0,1.22
2007-02-01,54.400001525878906,53.54999923706055,53.56999969482422,-0.8
2007-02-02,54.09999847412109,53.5,53.88999938964844,0.6
2007-02-05,54.95000076293945,54.20000076293945,54.630001068115234,1.37
2007-02-06,54.61000061035156,53.59999847412109,53.66999816894531,-1.76
2007-02-07,54.0,52.95000076293945,53.0,-1.25
2007-02-08,53.400001525878906,52.0,52.40999984741211,-1.11
2007-02-09,53.0,52.5,52.7599983215332,0.67
2007-02-12,52.7599983215332,52.20000076293945,52.2400016784668,-0.99
2007-02-13,52.900001525878906,52.20000076293945,52.59000015258789,0.67
2007-02-14,53.20000076293945,51.650001525878906,51.7599983215332,-1.58
2007-02-15,53.77999877929688,51.68999862670898,53.650001525878906,3.65
2007-02-16,54.400001525878906,53.5099983215332,54.0,0.65
2007-02-20,54.720001220703125,53.77000045776367,54.61000061035156,1.13
2007-02-21,54.70000076293945,53.400001525878906,54.65999984741211,0.09
2007-02-22,54.95000076293945,54.150001525878906,54.95000076293945,0.53
2007-02-23,55.79999923706055,54.810001373291016,55.33000183105469,0.69
2007-02-26,55.54999923706055,55.34999847412109,55.369998931884766,0.07
2007-02-27,55.650001525878906,54.79999923706055,55.04999923706055,-0.58
2007-02-28,55.650001525878906,55.09999847412109,55.54999923706055,0.91
2007-03-01,55.84999847412109,53.650001525878906,55.79999923706055,0.45
2007-03-02,55.95000076293945,55.54999923706055,55.84999847412109,0.09
2007-03-05,55.79999923706055,54.70000076293945,55.06999969482422,-1.4
2007-03-06,55.25,54.70000076293945,54.5,-1.04
2007-03-07,55.0,54.380001068115234,54.45000076293945,-0.09
2007-03-08,55.0,54.25,54.34000015258789,-0.2
2007-03-09,54.59999847412109,53.95000076293945,54.5,0.29
2007-03-12,54.650001525878906,54.25,54.560001373291016,0.11
2007-03-13,54.70000076293945,53.54999923706055,53.560001373291016,-1.83
2007-03-14,53.900001525878906,53.40999984741211,53.5,-0.11
2007-03-15,53.900001525878906,53.400001525878906,53.43999862670898,-0.11
2007-03-16,54.25,53.290000915527344,53.90999984741211,0.88
2007-03-19,54.29999923706055,53.59999847412109,53.709999084472656,-0.37
2007-03-20,54.45000076293945,53.20000076293945,53.29999923706055,-0.76
2007-03-21,53.45000076293945,53.09999847412109,53.11000061035156,-0.36
2007-03-22,53.59999847412109,53.119998931884766,53.220001220703125,0.21
2007-03-23,53.59999847412109,53.16999816894531,53.27000045776367,0.09
2007-03-26,53.5,53.11000061035156,53.290000915527344,0.04
2007-03-27,53.75,53.130001068115234,53.38999938964844,0.19
2007-03-28,53.97999954223633,53.34999847412109,53.90999984741211,0.97
2007-03-29,54.20000076293945,53.650001525878906,54.18999862670898,0.52
2007-03-30,54.70000076293945,53.15999984741211,53.56999969482422,-1.14
2007-04-02,53.810001373291016,52.77000045776367,53.2400016784668,-0.62
2007-04-03,53.34999847412109,52.970001220703125,53.04999923706055,-0.36
2007-04-04,53.5,52.95000076293945,53.2599983215332,0.4
2007-04-05,53.470001220703125,52.880001068115234,52.90999984741211,-0.66
2007-04-09,53.18000030517578,51.79999923706055,51.810001373291016,-2.08
2007-04-10,52.25,51.650001525878906,51.68999862670898,-0.23
2007-04-11,52.25,51.650001525878906,51.81999969482422,0.25
2007-04-12,52.060001373291016,51.09999847412109,51.119998931884766,-1.35
2007-04-13,51.75,51.130001068115234,51.369998931884766,0.49
2007-04-16,51.5,50.0,50.380001068115234,-1.93
2007-04-17,50.59999847412109,49.70000076293945,49.72999954223633,-1.29
2007-04-18,50.25,49.650001525878906,50.15999984741211,0.86
2007-04-19,50.7400016784668,49.09999847412109,49.150001525878906,-2.01
2007-04-20,49.79999923706055,48.79999923706055,49.63999938964844,1.0
2007-04-23,49.79999923706055,48.880001068115234,49.09999847412109,-1.09
2007-04-24,49.650001525878906,48.02999877929688,48.68000030517578,-0.86
2007-04-25,49.0,48.34999847412109,48.900001525878906,0.45
2007-04-26,49.0,47.16999816894531,47.70000076293945,-2.45
2007-04-27,49.0,47.5,47.900001525878906,0.42
2007-04-30,48.15999984741211,47.5,47.25,-1.36
