Date,High,Low,Adj Close,Change
2007-01-03,1117.0899658203125,1096.760009765625,1117.0899658203125,0.0
2007-01-04,1119.1600341796875,1114.4100341796875,1118.1800537109375,0.1
2007-01-05,1121.4100341796875,1114.5400390625,1120.4000244140625,0.2
2007-01-08,1119.0,1110.3800048828125,1113.02001953125,-0.66
2007-01-09,1121.5999755859375,1113.989990234375,1118.9599609375,0.53
2007-01-10,1119.739990234375,1107.02001953125,1113.18994140625,-0.52
2007-01-11,1117.68994140625,1103.3699951171875,1106.06005859375,-0.64
2007-01-12,1120.9599609375,1108.43994140625,1119.3299560546875,1.2
2007-01-15,1129.4200439453125,1121.81005859375,1127.4100341796875,0.72
2007-01-16,1133.6800537109375,1128.0799560546875,1132.6099853515625,0.46
2007-01-17,1140.81005859375,1133.260009765625,1139.7099609375,0.63
2007-01-18,1150.1500244140625,1141.260009765625,1147.6600341796875,0.7
2007-01-19,1151.6099853515625,1139.489990234375,1147.760009765625,0.01
2007-01-22,1157.8499755859375,1148.4100341796875,1157.8499755859375,0.88
2007-01-23,1169.1199951171875,1155.9300537109375,1169.1199951171875,0.97
2007-01-24,1186.0,1171.93994140625,1183.0400390625,1.19
2007-01-25,1191.530029296875,1173.260009765625,1179.6600341796875,-0.29
2007-01-26,1176.8599853515625,1164.9100341796875,1169.8900146484375,-0.83
2007-01-29,1180.010009765625,1170.260009765625,1177.530029296875,0.65
2007-01-30,1183.5400390625,1175.5899658203125,1181.4200439453125,0.33
2007-01-31,1189.3499755859375,1181.300048828125,1189.3499755859375,0.67
2007-02-02,1209.47998046875,1195.9100341796875,1209.47998046875,1.69
2007-02-05,1226.5699462890625,1213.5,1225.72998046875,1.34
2007-02-06,1238.6400146484375,1226.2099609375,1236.6300048828125,0.89
2007-02-07,1243.6300048828125,1232.5699462890625,1243.5699462890625,0.56
2007-02-08,1248.8299560546875,1237.3900146484375,1248.8299560546875,0.42
2007-02-09,1250.4599609375,1231.6400146484375,1240.8699951171875,-0.64
2007-02-12,1238.9200439453125,1223.1400146484375,1231.8699951171875,-0.73
2007-02-13,1235.030029296875,1223.68994140625,1234.31005859375,0.2
2007-02-14,1245.6400146484375,1239.43994140625,1245.6400146484375,0.92
2007-02-15,1258.6300048828125,1247.52001953125,1258.6300048828125,1.04
2007-02-16,1262.0899658203125,1252.1500244140625,1262.0899658203125,0.27
2007-02-21,1278.219970703125,1265.3399658203125,1278.219970703125,1.28
2007-02-22,1280.510009765625,1270.0999755859375,1276.52001953125,-0.13
2007-02-23,1283.800048828125,1273.8499755859375,1283.469970703125,0.54
2007-02-26,1285.1500244140625,1270.4000244140625,1272.8699951171875,-0.83
2007-02-27,1273.780029296875,1220.18994140625,1237.0799560546875,-2.81
2007-02-28,1196.6800537109375,1136.010009765625,1196.449951171875,-3.28
2007-03-01,1216.18994140625,1179.1199951171875,1180.9100341796875,-1.3
2007-03-02,1180.6600341796875,1161.6800537109375,1164.6800537109375,-1.37
2007-03-05,1152.8699951171875,1090.3900146484375,1110.68994140625,-4.64
2007-03-06,1137.8199462890625,1113.2900390625,1130.9599609375,1.82
2007-03-07,1170.010009765625,1144.1199951171875,1156.5799560546875,2.27
2007-03-08,1189.2900390625,1161.4599609375,1187.06005859375,2.64
2007-03-09,1201.449951171875,1186.31005859375,1188.8299560546875,0.15
2007-03-12,1205.8599853515625,1192.6099853515625,1203.2900390625,1.22
2007-03-13,1214.1500244140625,1197.5799560546875,1200.010009765625,-0.27
2007-03-14,1177.739990234375,1159.030029296875,1166.3800048828125,-2.8
2007-03-15,1182.1800537109375,1173.8199462890625,1180.31005859375,1.19
2007-03-16,1182.3299560546875,1172.4300537109375,1182.199951171875,0.16
2007-03-19,1195.6099853515625,1182.56005859375,1192.219970703125,0.85
2007-03-20,1206.5400390625,1200.5999755859375,1205.280029296875,1.1
2007-03-21,1213.9599609375,1206.5,1209.3399658203125,0.34
2007-03-22,1231.0,1213.9100341796875,1221.719970703125,1.02
2007-03-23,1237.699951171875,1223.77001953125,1235.6500244140625,1.14
2007-03-26,1246.75,1235.0799560546875,1244.3199462890625,0.7
2007-03-27,1248.97998046875,1236.550048828125,1247.1700439453125,0.23
2007-03-28,1245.1700439453125,1228.969970703125,1235.239990234375,-0.96
2007-03-29,1235.8900146484375,1222.4200439453125,1235.8900146484375,0.05
2007-03-30,1246.8699951171875,1238.699951171875,1246.8699951171875,0.89
2007-04-02,1253.4100341796875,1245.0,1246.300048828125,-0.05
2007-04-03,1260.1300048828125,1247.3800048828125,1256.8199462890625,0.84
2007-04-04,1277.6500244140625,1263.18994140625,1271.31005859375,1.15
2007-04-05,1277.47998046875,1268.81005859375,1277.47998046875,0.49
2007-04-06,1279.550048828125,1274.1500244140625,1278.9200439453125,0.11
2007-04-09,1300.93994140625,1279.8699951171875,1298.3599853515625,1.52
2007-04-10,1306.3399658203125,1290.0799560546875,1306.3399658203125,0.61
2007-04-11,1316.1300048828125,1302.8800048828125,1306.219970703125,-0.01
2007-04-12,1313.27001953125,1298.530029296875,1307.18994140625,0.07
2007-04-13,1315.030029296875,1297.68994140625,1308.199951171875,0.08
2007-04-16,1322.9100341796875,1310.5400390625,1322.9100341796875,1.12
2007-04-17,1334.43994140625,1316.97998046875,1330.260009765625,0.56
2007-04-18,1332.43994140625,1320.1500244140625,1328.6300048828125,-0.12
2007-04-19,1324.0999755859375,1291.6400146484375,1306.3599853515625,-1.68
2007-04-20,1316.81005859375,1306.219970703125,1315.3699951171875,0.69
2007-04-23,1326.6700439453125,1316.6400146484375,1321.3599853515625,0.46
2007-04-24,1319.8399658203125,1310.5899658203125,1317.5,-0.29
2007-04-25,1321.06005859375,1313.4200439453125,1315.969970703125,-0.12
2007-04-27,1326.699951171875,1319.1500244140625,1324.77001953125,0.67
2007-04-30,1330.27001953125,1313.6600341796875,1322.25,-0.19
2007-05-03,1343.52001953125,1329.1300048828125,1342.7900390625,1.55
2007-05-04,1363.4000244140625,1346.3699951171875,1363.4000244140625,1.53
2007-05-07,1367.4000244140625,1357.5400390625,1365.280029296875,0.14
2007-05-08,1368.8699951171875,1348.760009765625,1354.6700439453125,-0.78
2007-05-09,1357.5,1346.4200439453125,1350.8399658203125,-0.28
2007-05-10,1356.93994140625,1351.0899658203125,1355.6199951171875,0.35
2007-05-11,1351.449951171875,1336.1600341796875,1351.449951171875,-0.31
2007-05-14,1364.050048828125,1355.800048828125,1359.5899658203125,0.6
2007-05-15,1366.2099609375,1340.8800048828125,1346.0999755859375,-0.99
2007-05-16,1352.760009765625,1347.9000244140625,1352.4100341796875,0.47
2007-05-17,1361.72998046875,1351.1800537109375,1359.3699951171875,0.51
2007-05-18,1358.27001953125,1351.030029296875,1356.8399658203125,-0.19
2007-05-21,1354.9000244140625,1344.0799560546875,1347.1700439453125,-0.71
2007-05-22,1367.510009765625,1346.0899658203125,1367.510009765625,1.51
2007-05-23,1368.3800048828125,1351.9100341796875,1354.97998046875,-0.92
2007-05-24,1356.3900146484375,1335.3699951171875,1340.97998046875,-1.03
2007-05-25,1339.0799560546875,1319.75,1339.0799560546875,-0.14
2007-05-28,1348.300048828125,1339.77001953125,1345.989990234375,0.52
2007-05-29,1346.97998046875,1339.949951171875,1343.0,-0.22
2007-05-30,1349.1300048828125,1331.2099609375,1339.1800537109375,-0.28
2007-05-31,1350.4599609375,1338.4000244140625,1346.8900146484375,0.58
2007-06-01,1360.0699462890625,1346.2099609375,1360.0699462890625,0.98
2007-06-04,1374.5400390625,1356.780029296875,1360.27001953125,0.01
2007-06-05,1369.5899658203125,1354.9300537109375,1369.5899658203125,0.69
2007-06-06,1374.3299560546875,1368.1800537109375,1372.3800048828125,0.2
2007-06-07,1367.010009765625,1359.0899658203125,1364.4100341796875,-0.58
2007-06-08,1359.1800537109375,1351.3800048828125,1352.3900146484375,-0.88
2007-06-11,1367.93994140625,1357.050048828125,1357.6600341796875,0.39
2007-06-12,1361.300048828125,1355.6800537109375,1360.5799560546875,0.22
2007-06-13,1359.780029296875,1353.030029296875,1353.030029296875,-0.55
2007-06-14,1362.25,1353.8900146484375,1357.1800537109375,0.31
2007-06-15,1362.5799560546875,1355.760009765625,1360.6500244140625,0.26
2007-06-18,1372.280029296875,1363.2099609375,1372.280029296875,0.85
2007-06-19,1377.5,1371.030029296875,1376.7900390625,0.33
2007-06-20,1386.27001953125,1377.3399658203125,1386.27001953125,0.69
2007-06-21,1391.4100341796875,1382.739990234375,1387.9599609375,0.12
2007-06-22,1391.5699462890625,1382.260009765625,1391.5699462890625,0.26
2007-06-25,1389.68994140625,1374.6500244140625,1377.1300048828125,-1.04
2007-06-26,1380.5,1363.9000244140625,1366.989990234375,-0.74
2007-06-27,1366.199951171875,1352.739990234375,1357.4300537109375,-0.7
2007-06-28,1361.9300537109375,1347.5,1350.719970703125,-0.49
2007-06-29,1357.3599853515625,1348.949951171875,1354.3800048828125,0.27
2007-07-02,1365.3299560546875,1357.5699462890625,1364.3699951171875,0.74
2007-07-03,1373.5,1366.8699951171875,1373.1400146484375,0.64
2007-07-04,1383.219970703125,1374.8900146484375,1377.1400146484375,0.29
2007-07-05,1377.3299560546875,1365.469970703125,1369.300048828125,-0.57
2007-07-06,1375.6400146484375,1367.800048828125,1373.8399658203125,0.33
2007-07-09,1380.489990234375,1373.5999755859375,1378.68994140625,0.35
2007-07-10,1381.3199462890625,1366.989990234375,1371.449951171875,-0.53
2007-07-11,1367.4200439453125,1358.8699951171875,1359.27001953125,-0.89
2007-07-12,1374.5699462890625,1362.949951171875,1366.02001953125,0.5
2007-07-13,1384.719970703125,1376.6300048828125,1384.719970703125,1.37
2007-07-16,1388.31005859375,1376.030029296875,1381.510009765625,-0.23
2007-07-17,1385.050048828125,1373.050048828125,1377.47998046875,-0.29
2007-07-18,1383.5,1369.22998046875,1369.22998046875,-0.6
2007-07-19,1378.1500244140625,1370.52001953125,1376.4000244140625,0.52
2007-07-20,1385.5400390625,1377.8900146484375,1382.3599853515625,0.43
2007-07-23,1389.199951171875,1378.050048828125,1381.530029296875,-0.06
2007-07-24,1392.1800537109375,1385.77001953125,1392.1800537109375,0.77
2007-07-25,1388.719970703125,1379.3299560546875,1379.72998046875,-0.89
2007-07-26,1389.0699462890625,1375.449951171875,1381.5,0.13
2007-07-27,1361.699951171875,1347.949951171875,1355.3800048828125,-1.89
2007-07-30,1359.9200439453125,1343.72998046875,1352.4100341796875,-0.22
2007-07-31,1374.550048828125,1356.27001953125,1373.7099609375,1.57
2007-08-01,1367.2900390625,1327.7099609375,1339.489990234375,-2.49
2007-08-02,1357.6500244140625,1323.760009765625,1333.280029296875,-0.46
2007-08-03,1350.0899658203125,1333.4000244140625,1335.4200439453125,0.16
2007-08-06,1321.7099609375,1290.9000244140625,1290.9000244140625,-3.33
2007-08-07,1315.719970703125,1286.5400390625,1290.1300048828125,-0.06
2007-08-08,1309.47998046875,1292.8699951171875,1307.1700439453125,1.32
2007-08-09,1324.6800537109375,1312.6500244140625,1313.3900146484375,0.48
2007-08-10,1292.5799560546875,1275.1300048828125,1287.699951171875,-1.96
