Date,High,Low,Adj Close,Change
2007-01-02,974.8499755859375,968.0800170898438,974.3699951171875,0.0
2007-01-03,974.6400146484375,970.8300170898438,973.0399780273438,-0.14
2007-01-04,969.2000122070312,964.030029296875,967.4199829101562,-0.58
2007-01-05,966.030029296875,957.6699829101562,957.6699829101562,-1.01
2007-01-08,963.739990234375,957.219970703125,958.6900024414062,0.11
2007-01-09,966.8499755859375,962.0700073242188,962.5,0.4
2007-01-10,960.75,954.010009765625,957.9199829101562,-0.48
2007-01-11,973.969970703125,960.4099731445312,973.969970703125,1.68
2007-01-12,976.0700073242188,971.3900146484375,975.9000244140625,0.2
2007-01-15,981.0399780273438,978.0999755859375,979.260009765625,0.34
2007-01-16,981.6900024414062,974.1300048828125,974.5900268554688,-0.48
2007-01-17,976.3699951171875,968.1199951171875,971.6099853515625,-0.31
2007-01-18,977.6699829101562,967.75,970.0399780273438,-0.16
2007-01-19,977.0,964.9500122070312,976.2000122070312,0.64
2007-01-22,980.280029296875,971.0399780273438,971.6300048828125,-0.47
2007-01-23,974.030029296875,964.8900146484375,970.5599975585938,-0.11
2007-01-24,980.77001953125,973.0800170898438,979.469970703125,0.92
2007-01-25,982.1900024414062,972.260009765625,974.7000122070312,-0.49
2007-01-26,973.9000244140625,965.3599853515625,969.9199829101562,-0.49
2007-01-29,976.27001953125,969.2100219726562,974.6099853515625,0.48
2007-01-30,980.47998046875,972.260009765625,979.3699951171875,0.49
2007-01-31,980.1799926757812,972.989990234375,974.3099975585938,-0.52
2007-02-01,988.0599975585938,982.6599731445312,983.8800048828125,0.98
2007-02-02,988.219970703125,984.2100219726562,986.0900268554688,0.22
2007-02-05,988.0700073242188,983.2100219726562,986.7999877929688,0.07
2007-02-06,991.1400146484375,986.8699951171875,988.1199951171875,0.13
2007-02-07,994.4099731445312,989.010009765625,993.2100219726562,0.52
2007-02-08,993.9199829101562,983.8900146484375,985.6199951171875,-0.76
2007-02-09,992.5999755859375,989.5999755859375,990.25,0.47
2007-02-12,986.7899780273438,980.3900146484375,983.1400146484375,-0.72
2007-02-13,989.1400146484375,984.5700073242188,989.1400146484375,0.61
2007-02-14,994.9500122070312,990.280029296875,994.8900146484375,0.58
2007-02-15,996.280029296875,992.760009765625,995.6900024414062,0.08
2007-02-16,996.530029296875,993.1900024414062,994.260009765625,-0.14
2007-02-19,1002.52001953125,995.3499755859375,999.5800170898438,0.54
2007-02-20,999.0,989.77001953125,995.27001953125,-0.43
2007-02-21,1000.25,990.7899780273438,993.3900146484375,-0.19
2007-02-22,1000.239990234375,994.9600219726562,995.6699829101562,0.23
2007-02-23,998.3900146484375,992.760009765625,996.2899780273438,0.06
2007-02-26,1003.22998046875,997.5599975585938,1001.2100219726562,0.49
2007-02-27,994.0599975585938,972.2000122070312,973.4099731445312,-2.78
2007-02-28,967.1699829101562,951.280029296875,960.25,-1.35
2007-03-01,967.3900146484375,935.510009765625,950.1300048828125,-1.05
2007-03-02,957.9099731445312,940.7000122070312,946.9299926757812,-0.34
2007-03-05,941.0800170898438,926.0700073242188,938.5499877929688,-0.88
2007-03-06,946.6500244140625,940.6400146484375,945.6699829101562,0.76
2007-03-07,953.6599731445312,945.1400146484375,951.5900268554688,0.63
2007-03-08,963.7899780273438,955.72998046875,963.3699951171875,1.24
2007-03-09,967.760009765625,956.6699829101562,966.2000122070312,0.29
2007-03-12,971.530029296875,958.1500244140625,961.1799926757812,-0.52
2007-03-13,962.8699951171875,951.3900146484375,951.3900146484375,-1.02
2007-03-14,939.0700073242188,928.1599731445312,928.3400268554688,-2.42
2007-03-15,945.4199829101562,934.1099853515625,945.4199829101562,1.84
2007-03-16,950.4600219726562,939.760009765625,944.8900146484375,-0.06
2007-03-19,960.489990234375,951.6699829101562,960.489990234375,1.65
2007-03-20,969.22998046875,956.3599853515625,968.6900024414062,0.85
2007-03-21,972.6400146484375,967.530029296875,970.3800048828125,0.17
2007-03-22,988.6900024414062,980.530029296875,986.5999755859375,1.67
2007-03-23,994.989990234375,983.1599731445312,993.97998046875,0.75
2007-03-26,994.260009765625,980.469970703125,984.75,-0.93
2007-03-27,991.1900024414062,982.6400146484375,985.27001953125,0.05
2007-03-28,982.8499755859375,975.8900146484375,979.4400024414062,-0.59
2007-03-29,992.8300170898438,983.5800170898438,992.6400146484375,1.35
2007-03-30,998.4000244140625,988.9600219726562,992.3200073242188,-0.03
2007-04-02,995.77001953125,989.5399780273438,995.3300170898438,0.3
2007-04-03,1005.739990234375,998.9000244140625,1005.739990234375,1.05
